i,j,inf_lam2,sup_lam2,inf_lam3,sup_lam3
1,3,61961.7148322932,66402.7393904136,66851.543295288,71565.0746883421
2,3,61961.46717257,66402.4732027595,66851.2729730742,71564.7839942136
3,3,61961.2195164814,66402.2070191006,66851.0026557269,71564.4933054789
4,3,61960.9718640271,66401.9408394363,66850.7323432457,71564.2026221377
5,3,61960.7242152073,66401.6746637671,66850.4620356308,71563.9119441901
6,3,61960.4765700222,66401.4084920923,66850.191732882,71563.6212716362
7,3,61960.2289284711,66401.1423244122,66849.9214349992,71563.3306044751
8,3,61959.9812905543,66400.8761607268,66849.6511419821,71563.0399427072
9,3,61959.7336562716,66400.6100010357,66849.380853831,71562.7492863326
10,3,61959.4860256231,66400.343845339,66849.1105705455,71562.4586353506
11,3,61959.2383986086,66400.0776936367,66848.8402921254,71562.1679897616
12,3,61958.9907752279,66399.8115459284,66848.5700185708,71561.877349565
13,3,61958.7431554812,66399.5454022142,66848.2997498814,71561.5867147611
14,3,61958.4955393681,66399.2792624944,66848.0294860573,71561.2960853495
15,3,61958.2479268891,66399.0131267682,66847.7592270982,71561.0054613302
16,3,61958.0003180435,66398.746995036,66847.4889730042,71560.7148427029
17,3,61957.7527128316,66398.4808672976,66847.2187237749,71560.4242294678
18,3,61957.5051112531,66398.214743553,66846.9484794103,71560.1336216244
19,3,61957.2575133079,66397.9486238018,66846.6782399104,71559.8430191728
20,3,61957.0099189961,66397.6825080444,66846.4080052749,71559.5524221126
