i,j,inf_lam2,sup_lam2,inf_lam3,sup_lam3
1,1,59342.556105824,69502.1326125657,62811.0584690986,73534.1316921436
2,1,55574.6121472671,63316.0528228125,58996.4634328668,67178.7109920731
3,1,51466.7718045788,57449.6454985316,54747.1646635784,61078.8096682293
4,1,47527.5445545463,51865.2626866362,50644.2298972674,55166.1362085319
5,1,44037.9866964774,47890.9162036252,47005.098716285,51028.5441957186
6,1,41048.1059000548,44384.2120694491,43895.819545985,47379.0037594497
7,1,38279.3082880272,41231.0375616958,41003.702388212,44089.4267687405
8,1,17538.6435082213,26376.7308332041,19169.4792197367,28630.378754242
9,1,17622.5781193598,26376.7308332041,19270.0401853953,28630.378754242
10,1,23641.9746683289,26376.7308332041,25631.1262673362,28630.378754242
11,1,25604.4880002714,26376.7308332041,27691.8066006772,28630.378754242
12,1,25604.4880002714,26376.7308332041,27691.8066006772,28630.378754242
13,1,23594.7147360293,26376.7308332041,25575.6816275093,28630.378754242
14,1,24566.9823625739,26376.7308332041,26599.6761094244,28630.378754242
